yellow	colour, color, |0.0|.1|2
inch	edge, advance, progress*, |0.0|.1|3
employ	use, utilize, utilise, apply, hire, engage, employ, |0.0|.1|7
plead	appeal, apologize, apologise, excuse, justify, rationalize, declare, allege, aver, say, |0.0|.1|10
appeal	challenge, request, bespeak, quest, attract, challenge, mention, cite, name, refer, |0.0|.1|10
flood	deluge, inundate, fill, cover, glut, supply, provide, furnish, fill, |0.0|.1|9
skirt	hedge, elude, dodge, duck, avoid, surpass, pass, bound, border, surround, border, touch, meet, contact, |0.0|.1|14
levy	impose, charge, bill, recruit, raise, enlist, draft, |0.0|.1|7
play	compete, vie, contend, act, move, perform, act, represent, act, sound, act, act, behave, do, travel, go, move, gamble, simulate, assume, sound, perform, deploy, toy, act, behave, do, act, move, run, toy, manipulate, exploit, work, consider, take, deal, toy, act, move, move, displace, act, perform, bring, work, wreak, make, create, bet, bet, gamble, hit, use, utilize, utilise, apply, employ, use, utilize, utilise, apply, employ, meet, encounter, exhaust, beat, |0.0|.1|67
ditch	abandon, forsake, desert, chuck, abandon, dump, remove, crash, dig, |0.0|.1|9
condition	teach, learn, instruct, discipline, train, check, develop, stipulate, qualify, specify, contract, undertake, better, improve*, shampoo, |0.0|.1|15
clutch	seize, take, hold, seize, overwhelm, whelm, overcome, overtake, |0.0|.1|8
campaign	run, race, run, crusade, fight, press, push, agitate, advertise, promote, push, |0.0|.1|11
trust	swear, rely, bank, believe, permit, allow, let, believe, expect, anticipate, hope, desire, wish, commit, pass, hand, reach, give, sell, |0.0|.1|19
tape	attach, enter, record, record, enter, |0.0|.1|5
compact	pack, be, pack, bundle, arrange, wedge, squeeze, force, squeeze, contract, press, tighten, |0.0|.1|12
feud	contend, fight, struggle, |0.0|.1|3
split	divide, separate, tear, separate, part, break, separate, part, move, burst, break, separate, |0.0|.1|12
toast	crisp, heat, drink, pledge, salute, honour, reward*, |0.0|.1|7
boil	turn, cook, change, alter, modify, churn, roil, move, seethe, be, |0.0|.1|10
march	process, walk, walk, walk, demonstrate, protest, resist, dissent, exhibit, walk, walk, border, edge, touch, meet, contact, |0.0|.1|16
strive	endeavor, endeavour, try, seek, attempt, essay, reach, strain, labor, labour, push, drive, |0.0|.1|12
tune	adjust, set, correct, adjust, set, correct, |0.0|.1|6
dent	bend, twist, turn, |0.0|.1|3
disseminate	circulate, distribute, broadcast, spread, disperse, publicize, air, bare, |0.0|.1|8
mentor	teach, learn, instruct, |0.0|.1|3
intrigue	fascinate*, interest, scheme, plot, |0.0|.1|4
subpoena	serve, process, |0.0|.1|2
simulate	imitate, copy, reproduce, model, assume, dissemble, pretend, act, |0.0|.1|8
echo	repeat, utter, emit, resound, ring, sound, go, recall, resemble, |0.0|.1|9
cope	contend, grapple, deal, manage, act, move, |0.0|.1|6
spur	promote, advance, boost, further, encourage*, encourage*, strike, equip, fit, outfit, |0.0|.1|10
decrease^	diminish, lessen, fall, lessen, change, alter, modify, |-1.0|.1|7
beset^	harass, hassle, harry, chevy, plague, provoke, annoy, rag, bother, irritate, rile, gravel, vex, devil, assail, assault, attack, encrust, decorate, adorn, grace*, |-1.0|.1|21
buss	kiss, touch, |0.0|.1|2
torch	burn, fire, |0.0|.1|2
rotate	turn, alternate, turn, serve, splay, turn, grow, |0.0|.1|7
succeed*	win*, follow, |1.0|.1|2
replay	reproduce, play, meet, encounter, play, play, |0.0|.1|6
enter	participate, enroll, enrol, recruit, register, figure, be, record, save, preserve*, insert, introduce, attach, accede, succeed*, follow, embark, begin, get, start, commence, |0.0|.1|21
ease	travel, go, move, comfort, relieve, alleviate, facilitate, alleviate, help, assist, aid, still, allay, relieve, comfort, soothe, console, solace, |0.0|.1|18
thicken	change, alter, modify, turn, |0.0|.1|4
rescale	|0.0|.1|0
pose	present, constitute, represent, comprise, be, model, sit, posture, display, betray, posture, behave, bear, conduct, carry, put, set, place, position, lay, move, displace, vex, stick, get, puzzle, baffle, beat, bewilder, gravel, amaze, confuse, throw, befuddle, confound, |0.0|.1|35
birth	bear, have, produce, |0.0|.1|3
shadow	follow, shade, obscure, dominate, command, overlook, |0.0|.1|6
occur	happen, pass, come, become, appear, |0.0|.1|5
desire	want, hope, trust, wish, request, bespeak, quest, |0.0|.1|7
squander	waste, blow, use, expend, consume, waste, ware, spend, expend, drop, |0.0|.1|10
step	travel, go, move, tread, travel, go, move, run, execute, abuse, treat, handle, supply, provide, furnish, travel, go, move, walk, put, set, place, pose, position, lay, pace, quantify, measure, move, |0.0|.1|29
scout	observe, |0.0|.1|1
right	compensate, redress, correct, change, alter, modify, change, alter, modify, correct, turn, reverse, |0.0|.1|12
crowd	move, displace, occupy, fill, meet, gather, assemble, push, approach, near, |0.0|.1|10
people	populate, fill, populate, live, inhabit, |0.0|.1|5
balloon	fly, pilot, inflate, expand*, |0.0|.1|4
crown	invest, vest, top, culminate*, climax, head, cover, |0.0|.1|7
creep	crawl, travel, go, move, mouse, walk, spread, crawl, bend, flex, |0.0|.1|10
chorus	utter, emit, sing, |0.0|.1|3
bottom	supply, provide, furnish, hit, strike, understand, |0.0|.1|6
surge*	heave, inflate, soar, zoom, rise, lift, arise*, uprise, tide, run, flow, feed, course, rise, lift, arise*, uprise, better, improve*, |1.0|.1|19
stint	save, scant, supply, provide, furnish, |0.0|.1|5
borrow	get, acquire, adopt, accept, take, have, |0.0|.1|6
oscillate	hover, hesitate, waffle, swing, sway, |0.0|.1|5
shift	switch, change, alter, modify, dislodge, move, displace, transfer, move, displace, stir, agitate, move, change, alter, modify, change, substitute, replace, wobble, tilt, move, lurch, pitch, move, type, change, switch, change, switch, change, |0.0|.1|31
lose^	suffer, put, set, place, pose, position, lay, recede, miss, suffer, worsen^, decline, |-1.0|.1|12
bow	gesture, motion, submit, defer, accede, yield, succumb, crouch, bend, bend, flex, play, |0.0|.1|12
manufacture	construct, make, invent, concoct, |0.0|.1|4
emit	breathe, expel, eject, release, utter, |0.0|.1|5
bench	remove, expose, exhibit, display, |0.0|.1|4
derail^	sabotage, undermine, counteract, weaken, jump, travel, go, move, |-1.0|.1|8
despair	despair, |0.0|.1|1
transgress	offend, violate, breach, break, spread, sin, offend, violate, breach, break, overstep, pass, |0.0|.1|12
stoke	tend, |0.0|.1|1
lack	miss, lack, |0.0|.1|2
rebut	|0.0|.1|0
bath	bathe, clean, |0.0|.1|2
raise	increase, lift, move, displace, express, utter, collect, grow, farm, produce, cultivate, nurture, parent, conjure, evoke, stir, arouse, make, create, lift, move, displace, erect, construct, build, make, arouse, elicit, kindle, evoke, fire, provoke, make, create, make, create, lift, change, alter, modify, enhance, heighten, intensify, compound, heighten, deepen, promote, upgrade, advance, delegate, designate, assign, prove, lift, bid, call, bet, play, recruit, levy, enlist, draft, mention, cite, name, refer, pronounce, articulate, enunciate, say, instigate, reach, contact, multiply, lift, better, improve*, lift, end, terminate, revive, |0.0|.1|81
honeymoon	vacation, holiday, |0.0|.1|2
undermine	sabotage, counteract, weaken, cave, |0.0|.1|4
wrap	cover, wind, roll, move, displace, envelop, cover, |0.0|.1|7
reduce	trim, cut, decrease^, lessen, simplify, bump, relegate, break, substitute, replace, disgrace*, become, turn, shrink, decrease^, lessen, impoverish^, shrink, change, tighten, restrict, restrain, limit, bound, confine, subdue, suppress, crush, separate, divide, part, shorten, cut, contract, decrease^, lessen, concentrate, decrease^, diminish, lessen, fall, concentrate, decrease^, lessen, dilute, thin, cut, weaken, slim, thin, turn, |0.0|.1|51
wait	act, move, expect, look, work, |0.0|.1|5
support	give, back, endorse, approve, okay, sanction, hold, sustain*, confirm, corroborate, sustain*, affirm, subscribe, agree, hold, corroborate, underpin, match, fit, correspond, check, gibe, tally, agree, defend, argue^, reason, act, play, represent, patronize, foster, nurture, digest, endure, stomach, bear, stand, tolerate, brook, abide, suffer, permit, allow, let, |0.0|.1|45
know	experience, live, experience, undergo, see, acknowledge, recognize, accept, love, screw, bed, bang, mate, pair, couple, recognize, realize, realise, separate, tell, remember, retrieve, recall, think, |0.0|.1|24
rape	violate, assault, dishonour, outrage, assail, assault, attack, spoil, violate, plunder, destroy, ruin, |0.0|.1|12
stampede	act, move, flee, fly, |0.0|.1|4
oblige	compel, obligate, induce, stimulate, cause, have, get, make, bind, hold, obligate, relate, accommodate, comply, follow, |0.0|.1|15
launch	establish, found, open, propel, plunge, begin, get, start, commence, move, displace, smooth, |0.0|.1|12
underestimate	undervalue, value, estimate, gauge, guess, judge, misjudge, |0.0|.1|7
gripe	grouse, crab, beef, complain, kick, plain, |0.0|.1|6
reinvent	create, |0.0|.1|1
praise	measure, evaluate, assess, |0.0|.1|3
safeguard	protect, |0.0|.1|1
upgrade	rate, rank, range, order, grade, place, better, improve*, promote, advance, raise, delegate, designate, assign, better, improve*, better, improve*, |0.0|.1|18
duel	contend, fight, struggle, |0.0|.1|3
masquerade	disguise, pose, |0.0|.1|2
restructure	structure, |0.0|.1|1
lay	put, set, place, pose, position, move, displace, put, set, place, pose, position, organize, organise, prepare, devise, levy, impose, |0.0|.1|18
smash	nail, boom, blast, hit, dash, break, bankrupt, ruin, break, impoverish^, hit, strike, crush, demolish, humble, damage^, hit, clash, demolish, destroy, break, separate, |0.0|.1|22
palm	handle, touch, |0.0|.1|2
panel	decorate, adorn, grace*, take, select, |0.0|.1|5
price	determine, set, |0.0|.1|2
suborn	corrupt, demoralise, secure, induce, stimulate, cause, have, get, make, |0.0|.1|9
disclose	reveal, discover, expose, break, tell, expose, uncover, unveil, reveal, |0.0|.1|9
prove	be, demonstrate, establish, show, confirm, corroborate, sustain*, support, affirm, testify, evidence, show, inform, demonstrate, establish, show, test, try, examine, essay, evaluate, judge, rise, grow, raise, raise, lift, print, impress, |0.0|.1|29
soothe	comfort, console, solace, relieve, alleviate, |0.0|.1|5
exist	be, survive, live, |0.0|.1|3
account	be, calculate, report, describe, inform, declare, |0.0|.1|6
post	announce, delegate, designate, assign, station, base, send, place, move, displace, record, enter, list, carry, transfer, stake, mark, install, instal, mail, send, transfer, brand, call, |0.0|.1|24
protest	complain, kick, plain, resist, dissent, oppose, affirm, verify, assert, aver, swan, swear, |0.0|.1|12
wade	walk, |0.0|.1|1
floor	shock, stun, surprise, deck, dump, beat, |0.0|.1|6
relax	unbend, unwind, turn, unbend, loosen, loose, loosen, loose, weaken, unwind, affect, act, behave, do, loosen, change, alter, modify, loosen, change, slack, decrease^, lessen, |0.0|.1|23
benefit*	profit, gain, get, acquire, help, aid, |1.0|.1|6
wreak	bring, work, play, make, create, |0.0|.1|5
smell	perceive, smell, |0.0|.1|2
rehearse	practice, perform, execute, do, |0.0|.1|4
model	pattern, imitate, copy, simulate, shape, form, work, forge, pose, sit, posture, expose, exhibit, display, expose, exhibit, display, simulate, represent, interpret, |0.0|.1|20
asterisk	star, mark, |0.0|.1|2
transport	move, displace, carry, move, displace, enchant, delight, please, delight, send, ship, move, displace, transmit, transfer, channel, channelise, move, displace, |0.0|.1|19
invest	put, commit, place, spend, expend, drop, endow, gift, enable, clothe, adorn, equip, fit, outfit, vest, install, seat, install, |0.0|.1|18
infringe	conflict, transgress, offend, violate, breach, break, advance, progress*, |0.0|.1|8
congest	clog, choke^, foul^, obstruct, impede, jam, block, |0.0|.1|7
withstand	defy, hold, resist, resist, fight, oppose, defend, |0.0|.1|7
time	clock, quantify, measure, schedule, determine, shape, influence, regulate, adjust, set, correct, adjust, set, correct, |0.0|.1|14
push	force, move, displace, urge, press, exhort, advertise, promote, praise, labor, labour, drive, fight, struggle, press, crowd, approach, near, crusade, fight, press, campaign, agitate, advertise, promote, deal, sell, trade, travel, go, move, press, force, |0.0|.1|33
chain	arrange, fix, secure, |0.0|.1|3
chair	chairman, head, lead, moderate, lead, discuss, |0.0|.1|6
ward	guard, protect, |0.0|.1|2
bribe	corrupt, buy, pay, |0.0|.1|3
grapple	cope, contend, deal, manage, act, move, grip, seize, clutch, |0.0|.1|9
freelance	work, |0.0|.1|1
simplify	change, alter, modify, |0.0|.1|3
suspend	hang, change, alter, modify, expel, freeze, interrupt, break, change, alter, modify, postpone, table, shelve, defer, |0.0|.1|15
bicycle	cycle, bike, wheel, ride, |0.0|.1|4
carpenter	work, |0.0|.1|1
fatigue	tire, deteriorate, drop, tire, wear, |0.0|.1|5
download	transfer, |0.0|.1|1
jerk	pull, draw, force, move, buck, hitch, move, push, force, |0.0|.1|9
refinance	finance, |0.0|.1|1
bulletin	publicize, air, bare, |0.0|.1|3
embark	ship, board, enter, begin, get, start, commence, venture, go, proceed, move, |0.0|.1|11
stay	remain, rest, be, stick, abide, continue, remain, continue, remain, be, detain, delay, check, delay, persist, remain, stop, halt, block, fix, secure, quell, appease, meet, satisfy, fill, fulfill, fulfil, |0.0|.1|28
fret	fuss, worry, worry, supply, provide, furnish, irritate, annoy, rag, bother, irritate, rile, gravel, vex, devil, grate, annoy, rag, bother, irritate, rile, gravel, vex, devil, carve, decorate, adorn, grace*, choke^, squeeze, compact, contract, press, rub, fray, scratch, touch, meet, contact, erode, damage^, rust, |0.0|.1|42
exact	demand, claim, claim, take, necessitate, ask, need, require, take, involve, demand, |0.0|.1|11
tear	snap, bust^, separate, disunite, divide, part, separate, disunite, divide, part, shoot, charge, buck, rush, hasten*, speed, race, pluck, pull, strip, cry, |0.0|.1|21
trot	clip, run, walk, |0.0|.1|3
skew	reorient, |0.0|.1|1
leave	make, get, refrain, exit, move, allow, provide, yield, give, afford, result, lead, produce, depart, change, entrust, pass, hand, reach, give, will, give, gift, present, have, give, tell, forget, lose^, |0.0|.1|29
engross	steep, engulf, plunge, absorb, concentrate, focus, center, centre, rivet, absorb, engage, occupy, interest, |0.0|.1|13
default	fail^, neglect, |0.0|.1|2
team	group, |0.0|.1|1
prevent	forestall, foreclose^, preclude, forbid, keep, |0.0|.1|5
sign	subscribe, write, ratify, validate, contract, undertake, contract, hire, engage, employ, signal, communicate, put, set, place, pose, position, lay, communicate, bless, gesture, motion, |0.0|.1|22
shirt	dress, clothe, apparel, |0.0|.1|3
reaffirm	affirm, |0.0|.1|1
adorn	decorate, grace*, change, alter, modify, deck, decorate, grace*, be, invest, clothe, equip, fit, outfit, |0.0|.1|14
parachute	jump, dive, plunge, plunk, |0.0|.1|4
bag	capture, catch, flag, project, pocket, steal, pack, |0.0|.1|7
educate	better, improve*, train, develop, prepare, teach, learn, instruct, school, train, cultivate, civilize, polish, refine, down, |0.0|.1|15
realize	recognize, realise, know, understand, realise, see, realise, make, create, gain, clear, make, earn, realise, get, acquire, realise, sell, realise, |0.0|.1|19
melt	run, dissolve, resolve, dissolve, thaw, liquefy, flux, change, blend, flux, mix, combine, merge, fade, weaken, disappear, weaken, |0.0|.1|17
