yellow	  1,discolor, discolour, colour, color
block	  1,barricade,  blockade, stop, block off, block up, bar,obstruct, obturate, impede, occlude, jam,  close up,2,obstruct, blockade,  hinder, stymie, stymy, embarrass,prevent, forestall, foreclose, preclude, forbid,3,stop, halt,  kibosh,prevent, forestall, foreclose, preclude, forbid,4,jam, interrupt, disrupt, break up, cut off,5,operate, run,6,anesthetize, anaesthetize, anesthetise, anaesthetise, put to sleep, put under, put out,7,obstruct, hide, conceal,8,emboss, boss, stamp,9,stuff, lug, choke up, clog, choke off, clog up, back up, congest, choke, foul,10,obstruct, obturate, impede, occlude, jam,  close up,impede, hinder,11,hold, support, sustain, hold up,12,parry,  deflect,fence,13,forget,  blank out, draw a blank,14,shape, form,15,shape, form,16,freeze,  immobilize, immobilise,withhold, keep back
lower	  1, take down, let down, get down, bring down,move, displace,2, lour,devalue,3, depress,change, alter, modify,4,turn down,  lour,decrease, lessen, minify,5,frown, g lour, grimace, make a face, pull a face
sing	  1,interpret, render,2,talk, speak, utter, mouth, verbalize, verbalise,3,utter, emit, let out, let loose,4,whistle, sound, go,5,spill the beans, let the cat out of the bag, talk, tattle, blab, peach, babble,  babble out, blab out,unwrap, disclose, let on, bring out, reveal, discover, expose, divulge, impart, break, give away, let out
fundraise	  1,fund-raise, fund raise, raise
roll	  1, turn over,turn,2,wheel, travel, go, move, locomote,3, undulate,4,roll out, flatten,5,sound, go,6,wind, wrap,  twine,move, displace,7,function, work, operate, go, run,8,shape, form,9,tumble,10,hustle, pluck, steal,11, undulate, flap, wave,move,12, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond,travel, go, move, locomote,13,rock, sway, shake,14, revolve,move, displace,15,pronounce, articulate, enounce, sound out, enunciate, say,16,seethe, churn, boil, moil, roil,17,change shape, change form, deform,18, roll up,change
behave	  1,act,  do,2, acquit, bear, deport, conduct, comport, carry,hold, carry, bear,act, move,3, comport,act, move
place	  1,put, set,  pose, position, lay,move, dis2,delegate, designate, depute, assign,3,rate, rank, range, order, grade, evaluate, pass judgment, judge,4,locate,  site,station, post, base, send, 5,order,6, come in, come out,rank,7,target, aim,  direct, point,aim, take, train, take aim, direct,8,identify, determine, set,9,delegate, designate, depute, assign,10,set, localize, localise, stage, present, represent,11, put, set,estimate, gauge, approximate, guess, judge,12, localize, localise,situate, locate,13,invest, put, commit, spend, expend, drop,14,station, post, base, send, move, dis15,race, run,16,sing
approve	  1, O.K., okay, sanction,authorize, authorise, pass, clear,2,evaluate, pass judgment, judge
douse	  1, put out,snuff out, blow out, extinguish, quench,2, dowse,wet,3,dip,  duck,dunk, dip, souse, plunge, 4,dunk, dip, souse, plunge, immerse, plunge,5,roll up, furl,6, dowse,slacken, remit,7,drench,  dowse, soak, sop, souse,wet
spawn	  1,engender, breed, cause, do, make,2,lay
manufacture	  1, fabricate, construct,make,2,fabricate,  cook up, make up, invent,think up, think of, dream up, hatch, concoct
withhold	  1, keep back,deny, refuse,2, deduct, recoup,keep, hold on
collapse	  1, fall in, cave in, give, give way, break, founder,change,2,break down, suffer, sustain, have, get,3,fold, fold up, turn up,4,crumble, crumple, tumble, break down, change integrity,5, burst,6,crack up, crack, crock up, break up, suffer, sustain, have, get,7,weaken
hare	  1,run
reiterate	  1,repeat,  ingeminate, iterate, restate, retell,tell
sick	  1,vomit, vomit up, purge, cast,  cat, be  disgorge, regorge, retch, puke, barf, spew, spue, chuck, upchuck, honk, regurgitate, throw up,excrete, egest, eliminate, pass
dull	  1,change, alter, modify,2,change,3,muffle, mute,  damp, dampen, tone down,soften,4,numb, benumb, blunt, desensitize, desensitise,5, blunt,change, alter, modify,6,pall, change,7,weaken
persist	  1,prevail,  die hard, run, endure,continue,2,persevere,  hang in, hang on, hold on,continue, uphold, carry on, bear on, preserve,3, remain, stay
swagger	  1,tittup,  ruffle, prance, strut, sashay, cock,walk,2,browbeat, bully, wheedle, cajole, palaver, blarney, coax, sweet-talk, inveigle,3, bluster, swash,act, behave, do
corroborate	  1,confirm,  sustain, substantiate, support, affirm,2,validate, confirm, reassert,3, underpin, bear out, support,match, fit, correspond, check, jibe, gibe, tally, agree
circuit	  1,travel, go, move, locomote
stumble	  1, falter, bumble,walk,2, trip,move,3, hit,come by,4, slip up, trip up,err, mistake, slip
accustom	  1,habituate, change, alter, modify
order	  1, tell, enjoin, say,request,2,request, bespeak, call for, quest,3, prescribe, dictate,inflict, bring down, visit, impose,4,regulate, regularize, regularise,  govern,decide, make up one's mind, determine,5,arrange, set up,6,arrange, set up,7,ordain, consecrate, ordinate, invest, vest, enthrone,8,arrange, set up, put, organize, organise,9,rate, rank, range,  grade, place,evaluate, pass judgment, judge
metal	  1,coat, surface
reopen	  1,open, open up
cotton	  1,like
dash	  1,dart,  scoot, scud, flash, shoot,rush, hotfoot, hasten, hie, speed, race, pelt along, rush along, cannonball along, bucket along, belt along,2,smash, break,3,crash, hurl, hurtle, cast,4,thwart, queer, spoil, scotch, foil, cross, frustrate, baffle, bilk,5,daunt,  scare off, pall, frighten off, scare away, frighten away, scare,intimidate, restrain,6,mix, mix in
deconstruct	  1,rede, interpret
fear	  1,worry,2, dread,3,regret,4,5,reverence,  revere, venerate,respect, esteem, value, prize, prise
nab	  1,tag,2,collar, nail, apprehend, arrest, pick up,  cop,seize, prehend, clutch,3,seize, prehend, clutch
enrol	  1,enroll, inscribe, enter,  recruit,register
enroll	  1, inscribe, enter, enrol, recruit,register
slick	  1, sleek,polish, smooth, smoothen, shine,2, slick down, sleek down,comb, comb out, disentangle
draw	  1,pull,  force,move, displace,2,reap, derive, gain,3,trace,  line, describe, delineate,mark,4, make,create by mental act, create mentally,5, pull, pull out, get out, take out,remove, take, take away, with6,represent, interpret,7, take out,remove, take, take away, with8,describe, depict, set forth, expound, exposit,9,choose, take, select, pick out,10,arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke,11,puff, drag, inhale, inspire, breathe in,12,travel, go, move, locomote,13,with  take out, draw off,remove, take, take away, with14, cast,move, go,15, get,effect, effectuate, set up,16,change, alter, modify,17,remove, take, take away, with18,write, compose, pen, indite,19,create,20,close, shut,21,be,22,necessitate, ask, postulate, need, require, take, involve, call for, demand,23, quarter, draw and quarter,kill,24,pull, move, displace,25,absorb, suck, imbibe, soak up, sop up, suck up,  take in, take up,26,attract, pull, pull in,  draw in,pull,  force,27,string, thread, arrange, set up,28,pull back, stretch,29,guide, run,  pass,30,tie, equal, match, equalize, equalise, equate,31,change shape, change form, deform,32,thin,33,steep, infuse,34,disembowel, eviscerate, remove, take, take away, with35,shape, form,36,localize, localise
crouch	  1, stoop, bend, bow,bend, flex,2,squat,  scrunch, scrunch up, hunker, hunker down,sit, sit down
resign	  1,vacate,  renounce, give up,leave office, quit, step down, 2,leave office, quit, step down, leave, depart, pull up stakes,3,release, relinquish,  free, give up,pass, hand, reach, pass on, turn over, give,4, reconcile, submit,accept
tail	  1,chase, chase after, trail,  tag, give chase, dog, go after, track,pursue, follow,2,dock,  bob,cut,3,top, pinch
drag	  1,pull, draw, force,2,haul, hale, cart, pull, draw, force,3,embroil, tangle, sweep, sweep up,  drag in,involve,4,travel, go, move, locomote,5, trail, get behind, hang back, drop behind,lag, dawdle, fall back, fall behind,6,puff,  draw,inhale, inspire, breathe in,7,move, displace,8,scuff, shuffle, scuffle, shamble,9,dredge, search, seek, look for,10,persuade,11, drag on, drag out,proceed, go
rest	  1,be,2, breathe, catch one's breath, take a breather,pause, intermit, break,3,4,lie, be,5,recumb, repose, recline,6,stay, remain, be,7, reside, repose,inhere in, attach to,8,put, set, place, pose, position, lay,9,perch, roost, sit, sit down,10,pillow, put, set, place, pose, position, lay,11,rest
structure	  1,organize, organise, coordinate
cash	  1, cash in,exchange, change, interchange
revamp	  1,regenerate, renew,2,vamp, repair, mend, fix, bushel, doctor, furbish up, restore, touch on
urge	  1, urge on, press, exhort,rede, advise, counsel,2,recommend,  advocate,propose, suggest, advise,3,cheer, inspire,  barrack, urge on, exhort, pep up,encourage
notch	  1,incise,2,record, enter, put down
zoom	  1, zoom along, whizz, whizz along,travel rapidly, speed, hurry, zip,2,travel, go, move, locomote,3,soar, soar up, soar upwards, surge, rise, lift, arise, move up, go up, come up, uprise
out	  1,come out of the closet,  come unwrap, disclose, let on, bring  reveal, discover, expose, divulge, impart, break, give away, let 2,unwrap, disclose, let on, bring  reveal, discover, expose, divulge, impart, break, give away, let 3, come out
require	  1,necessitate, ask, postulate, need,  take, involve, call for, demand,2,ask,  expect,demand,3,command,  compel,order, tell, enjoin, say,4,want, need, be
resolve	  1,decide, settle,  adjudicate,end, terminate,2,conclude, agree, hold, concur, concord,3,purpose, decide, make up one's mind, determine,4,answer, solve, work out, figure out, puzzle out, lick, work,5,recognize, recognise, distinguish, discern, pick out, make out, tell apart,6, solve,calculate, cipher, cypher, compute, work out, reckon, figure,7,dissolve,  break up,change integrity
orbit	  1,orb,  revolve,circle, circulate
clench	  1, clinch,seize, prehend, clutch,2,squeeze
neighbour	  1,neighbor, dwell, live, inhabit,2,neighbor, border, adjoin, edge, abut, march, butt, butt against, butt on
heat	  1, heat up,change, alter, modify,2,supply, provide, render, furnish,3,inflame, stir up, wake, ignite,  fire up,arouse, elicit, enkindle, kindle, evoke, fire, raise, provoke,4, hot up, heat up,change state, turn
bribe	  1, corrupt, buy, grease one's palms,pay
rouse	  1,bestir, be active, move,2,rout out, drive out, force out, move, displace,3,agitate,  turn on, charge, commove, excite, charge up,disturb, upset, trouble,4,awaken, wake, waken,  wake up, achange, alter, modify
require	  1,necessitate, ask, postulate, need,  take, involve, call for, demand,2,ask,  expect,demand,3,command,  compel,order, tell, enjoin, say,4,want, need, be
sound	  1,look, appear, seem,2, go,cause to be perceived,3,4,announce, denote,5,voice,  vocalize, vocalise,pronounce, articulate, enounce, sound out, enunciate, say,6,7,fathom, quantify, measure
farm	  1,work, do work,2,collect, take in,3,grow, raise,  produce,cultivate
proposition	  1,propose, suggest, advise
outperform	  1,surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, beat, beat out, crush, shell, trounce, vanquish
exclude	  1, except, leave out, leave off, omit, take out,eliminate, get rid of, do away with,2, keep out, shut out, shut,prevent, keep,3,miss, lack,4,bar, debar, forbid, prohibit, interdict, proscribe, veto, disallow,5,expel, eject, chuck out,  throw out, kick out, turf out, boot out, turn out,move, displace
avert	  1,debar, obviate, deflect,  head off, stave off, fend off, avoid, ward off,prevent, forestall, foreclose, preclude, forbid,2, turn away,turn
stun	  1, stupefy,immobilize, immobilise,2,shock,  floor, ball over, blow out of the water, take aback,surprise,3,sandbag, hit,4, bedaze, daze,desensitize, desensitise
transact	  1,interact
blind	  1,2,change, alter, modify,3, dim,darken
stave	  1,equip, fit, fit out, outfit,2, stave in,burst, split, break open
suit	  1, accommodate, fit,meet, fit, conform to,2,be,3,befit,  beseem,match, fit, correspond, check, jibe, gibe, tally, agree,4,become, fancify, beautify, embellish, prettify
shack	  1,reside,  domicile, domiciliate,dwell, live, inhabit,2,trail, travel, go, move, locomote
exclude	  1, except, leave out, leave off, omit, take out,eliminate, get rid of, do away with,2, keep out, shut out, shut,prevent, keep,3,miss, lack,4,bar, debar, forbid, prohibit, interdict, proscribe, veto, disallow,5,expel, eject, chuck out,  throw out, kick out, turf out, boot out, turn out,move, displace
scorch	  1,sear, heat, heat up,2, sear, singe,burn, combust,3,burn, fire, burn down,4,char, blacken, sear, burn,5,dry, dry out
contend	  1, postulate,claim,2,argue,  debate, fence,converse, discourse,3,contest,  repugn,oppose,4,compete, vie, 5,cope, get by, make out, make do,  grapple, deal, manage,act, move,6, fight, struggle
wave	  1,beckon, gesticulate, gesture, motion,2,brandish, flourish, move, displace,3,roll, undulate, flap, move,4,curl, twist,5,dress, arrange, set, do, coif, coiffe, coiffure
quell	  1,squelch,  quench,suppress, stamp down, inhibit, subdue, conquer, curb,2, stay, appease,meet, satisfy, fill, fulfill, fulfil
rattle	  1,sound, go,2,shake, agitate
tell	  1,state, say, express, verbalize, verbalise, utter, give tongue to,2,inform,3, narrate, recount, recite,inform,4,order,  enjoin, say,request,5,guess, infer,6,assure, affirm, verify, assert, avow, aver, swan, swear,7, evidence,inform,8,distinguish, separate, differentiate, secern, secernate, severalize, severalise,  tell apart,identify, place
whirlpool	  1,eddy, purl,  swirl, whirl,run, flow, feed, course
position	  1,put, set, place, pose,  lay,2,put, set, place, pose,  lay,move, displace
button	  1,add,2,fasten, fix, secure
hive	  1,store, hive away, lay in, put in, salt away, stack away, stash away,2,meet, gather, assemble, forgather, foregather,3,gather, garner, collect, pull together
transpose	  1,permute, commute, change by reversal, turn, reverse,2,transfer,  transplant,shift,3,counterchange,  interchange,change, alter, modify,4,transfer, shift,5,arrange, set,6,commute, change,7,change, alter, modify
enforce	  1, implement, apply,compel, oblige, obligate,2, impose,compel, oblige, obligate
dilute	  1, thin, thin out, reduce, cut,weaken,2,adulterate, stretch,  debase,corrupt, spoil
